No,Nama_Bahan,Porsi_g,Kalori_kal,Karbohidrat_g,Protein_g,Lemak_g,Serat_g
740,"Ayam, usus, goreng",100,473.0,13.9,45.2,26.3,
741,"Bebek, daging, goreng",100,300.0,4.5,24.0,20.7,
742,"Buaya, daging, dendeng, mentah",100,365.0,30.8,49.6,4.8,
743,Ham,100,384.0,0.3,16.9,35.0,
744,"Itik alabio, daging, dendeng, mentah",100,496.0,18.4,30.3,33.5,
745,Kerupuk urat,100,588.0,1.2,53.7,40.9,
746,"Menjangan, daging, dendeng, mentah",100,322.0,22.7,55.8,2.0,
747,"Punai, daging, goreng",100,224.0,4.4,26.2,11.3,
748,"Rusa, daging, dendeng, mentah",100,536.0,,40.5,41.5,
749,"Sapi, abon",100,212.0,59.3,18.0,10.6,7.5
750,"Sapi, abon, asli",100,358.0,38.6,14.6,16.1,2.5
751,"Sapi, daging, asap",100,182.0,,32.0,6.0,
752,"Sapi, daging, dendeng, mentah",100,301.0,,55.0,9.0,
753,"Sapi, daging, kornet",100,289.0,,16.0,25.0,
754,"Sapi, daging, sosis (Worst)",100,448.0,2.3,14.5,42.3,
755,"Sapi, hati, sosis (liverworst)",100,274.0,3.0,16.0,22.0,2.3
756,"Sapi, paru, dendeng, mentah",100,360.0,19.2,57.3,6.0,
757,"Sapi, paru, goreng",100,268.0,14.5,23.9,12.7,
758,"Ulat sagu, panggang",100,380.0,14.9,11.9,30.3,4.8
759,"Ayam goreng church texas, dada",100,338.0,0.4,35.2,20.6,
760,"Ayam goreng church,texas paha",100,287.0,1.7,31.0,15.7,
761,"Ayam goreng church texas, sayap",100,295.0,1.5,34.0,16.0,
762,"Ayam goreng kalasan, paha",100,275.0,1.3,37.4,12.2,
763,"Ayam goreng kentucky, dada",100,298.0,0.1,34.2,16.8,
764,"Ayam goreng Kentucky, paha",100,286.0,1.1,32.1,16.1,
765,"Ayam goreng Kentucky,sayap",100,297.0,1.6,35.9,15.2,
766,Ayam goreng mbok berek dada,100,295.0,1.0,39.2,13.6,
767,"Ayam goreng pasundan, dada",100,246.0,0.7,37.9,9.0,
768,"Ayam goreng pasundan, paha",100,245.0,0.3,33.1,11.4,
769,"Ayam goreng pioneer, dada",100,295.0,0.6,37.4,14.7,
770,"Ayam goreng sukabumi, dada",100,244.0,1.0,36.7,9.2,
771,"Ayam goreng sukabumi, paha",100,283.0,0.5,35.7,14.3,
772,"Ayam taliwang, masakan",100,264.0,2.7,18.2,20.1,
773,"Babi hutan masak rica, masakan",100,491.0,0.2,24.6,16.3,
774,Beef burger,100,258.0,32.5,10.6,9.5,0.4
775,"Beef teriyaki, masakan",100,151.0,22.3,8.6,3.1,0.3
776,"Beef yakiniku, masakan",100,132.0,20.7,9.8,1.1,0.3
777,Brongkos,100,141.0,12.6,15.3,3.3,1.0
778,"Bulgogi, masakan",100,72.0,1.4,11.4,4.9,1.7
779,"Chicken teriyaki, masakan",100,168.0,7.5,13.0,9.6,0.8
780,"Chikiniku, masakan",100,143.0,22.8,9.8,1.4,0.4
781,"Coto mangkasara, kuda, masakan",100,96.0,3.8,6.8,5.9,
782,"Coto mangkasara, sapi, masakan",100,84.0,1.4,6.0,6.0,
783,"Djibokum, masakan",100,248.0,40.9,10.0,2.3,0.1
784,"Empal (daging) Goreng, masakan",100,248.0,10.1,36.2,6.9,
785,Gulai kambing,100,126.0,6.2,4.2,9.4,
786,"Jangang bintatoeng, masakan",100,107.0,16.5,5.3,2.2,
787,"Kalio ayam, masakan",100,203.0,4.4,16.0,13.5,
788,"Kalio jeroan, masakan",100,163.0,4.1,16.5,9.0,
789,"Kalio kikil (tunjang), masakan",100,122.0,3.9,13.8,5.7,
790,"Kalio otak, masakan",100,157.0,11.4,8.1,8.8,
791,"Lawar babi, masakan",100,174.0,3.0,17.0,10.0,
792,"Lawar penyu, masakan",100,141.0,7.6,23.0,1.5,
793,"Lawara jangang, masakan",100,159.0,10.1,5.0,10.9,
794,"Naan maran sapi, masakan",100,478.0,5.1,38.3,33.9,
795,"Nasu likku, masakan",100,196.0,15.9,14.5,8.3,
796,"Oramu ninahu ndawa olaho, masakan",100,117.0,4.3,13.7,5.0,
797,"Paniki masak santan, masakan",100,460.0,7.2,28.5,35.2,
798,"Pelolah manuk, masakan",100,219.0,4.4,19.7,13.6,
799,"Rawon, masakan",100,60.0,4.0,5.4,2.5,0.3
800,"Rendang sapi, masakan",100,193.0,7.8,22.6,7.9,
801,"RW, anjing, masakan",100,198.0,0.9,24.6,10.7,
802,"Sate, penyu, masakan",100,179.0,13.3,22.5,3.5,
803,"Sate pusut, masakan",100,274.0,13.6,12.9,18.6,
804,"Penyu, serapah, masakan",100,174.0,2.2,13.1,12.2,
805,"Sie reuboh, masakan",100,474.0,11.7,11.2,42.5,
806,"Sop buntut, masakan",100,71.0,2.2,7.5,3.6,
807,"Sop daging sapi, masakan",100,49.0,5.3,5.8,0.5,
808,"Sop kaki sapi, masakan",100,68.0,3.7,9.0,1.9,
809,"Sop kambing, masakan",100,34.0,1.1,5.5,0.8,
810,"Sop konro, masakan",100,71.0,4.5,7.4,2.6,
811,"Sop saudara, masakan",100,89.0,3.9,7.2,5.0,
812,"Soto bandung, masakan",100,42.0,2.8,3.9,1.7,0.4
813,"Soto banjar, masakan",100,110.0,3.2,2.9,9.5,
814,"Soto betawi, masakan",100,135.0,11.5,2.5,8.8,0.5
815,"Soto jeroan, masakan",100,92.0,1.4,11.8,4.3,
816,"Soto kudus, masakan",100,38.0,1.8,2.6,2.3,0.2
817,"Soto madura, masakan",100,60.0,1.3,3.5,4.5,
818,"Soto padang, masakan",100,127.0,11.0,5.9,6.6,0.7
819,"Soto pekalongan, masakan",100,94.0,5.1,3.0,6.8,0.3
820,"Soto pemalang, masakan",100,75.0,3.5,3.6,5.2,
821,"Soto sukaraja, masakan",100,80.0,9.0,3.2,3.5,0.3
822,"Soto sulung, masakan",100,86.0,,2.3,8.5,
823,"Sukiyaki, masakan",100,75.0,12.2,5.6,0.4,0.2
824,"Tedong pallu basa, masakan",100,83.0,2.8,10.4,3.4,
825,"Tikus rica, masakan",100,257.0,3.8,18.8,18.5,
826,"Tinoransa, masakan",100,516.0,,17.7,49.5,
827,"Anak sapi, daging, gemuk, segar",100,184.0,,18.8,14.0,
828,"Anak sapi, daging, kurus, segar",100,174.0,,19.6,10.0,
829,"Anak sapi, daging, sedang, segar",100,190.0,,19.1,12.0,
830,"Angsa, daging, segar",100,349.0,,16.4,31.5,
831,"Ayam, daging, segar",100,298.0,,18.2,25.0,
832,"Ayam, dideh/darah, segar",100,75.0,0.7,13.8,1.9,
833,"Ayam, hati, segar",100,261.0,1.6,27.4,16.1,
834,"Babi, daging, gemuk,segar",100,453.0,,11.9,45.0,
835,"Babi, daging, kurus, segar",100,371.0,,14.1,35.0,
836,"Babi, ginjal, segar",100,110.0,0.8,16.3,4.6,
837,"Babi, hati, segar",100,129.0,1.7,19.7,4.8,
838,"Bebek (itik), daging, segar",100,321.0,,16.0,28.6,
839,"Bebek alabio, daging, segar",100,303.0,3.7,11.3,27.0,
840,"Belibis, daging, segar",100,131.0,2.8,20.2,4.3,
841,"Burung, sarang, segar",100,281.0,32.1,37.5,0.3,
842,"Domba, daging, gemuk, segar",100,317.0,,15.7,27.7,
843,"Domba, daging, kurus, segar",100,202.0,,17.1,14.8,
844,"Domba, ginjal, segar",100,100.0,1.0,16.6,3.3,
845,"Kambing, daging, segar",100,149.0,,16.6,9.2,
846,"Kelinci, daging, segar",100,142.0,,16.9,7.8,
847,"Kerbau, daging, segar",100,79.0,,18.7,0.5,
848,"Kuda, daging, segar",100,113.0,0.9,18.1,4.1,
849,"Sapi, babat, segar",100,108.0,,17.6,4.2,
850,"Sapi, daging, gemuk, segar",100,273.0,,17.5,22.0,
851,"Sapi, daging, kurus, segar",100,174.0,,19.6,10.0,
852,"Sapi, daging, lemak sedang, segar",100,201.0,,18.8,14.0,
853,"Sapi, daleman, segar",100,183.0,1.4,12.0,14.4,
854,"Sapi, dideh/darah",100,98.0,,21.9,1.1,
855,"Sapi, ginjal, segar",100,137.0,0.9,15.0,8.1,
856,"Sapi, keleponan, segar",100,84.0,0.2,10.5,4.6,
857,"Sapi, liver, segar",100,132.0,6.0,19.7,3.2,
858,"Sapi, otak, segar",100,123.0,0.8,10.4,8.6,
859,"Sapi, usus, segar",100,126.0,1.5,14.0,7.2,
860,Ulat sagu segar,100,241.0,5.8,5.8,21.6,2.8
861,"Bekicot, dendeng, mentah",100,441.0,15.8,48.7,20.3,
862,"Belut, goreng",100,417.0,32.0,25.9,19.4,
863,"Cumi-cumi, goreng",100,265.0,,40.6,10.1,
864,"Ikan asin, kering",100,193.0,,42.0,1.5,
865,"Ikan bandeng presto, masakan",100,296.0,11.3,17.1,20.3,
866,Ikan baung bakar,100,144.0,5.2,17.8,5.8,
867,Ikan Belida bakar,100,128.0,7.2,18.0,3.0,
868,"Ikan cakalang asap, mentah",100,204.0,1.9,34.2,5.6,
869,"Ikan cakalang asin, mentah",100,198.0,5.5,36.5,2.2,
870,"Ikan calo/ peda, mentah",100,81.0,3.8,11.4,1.9,
